videoId,title,description,tags,viewCount,likeCount,favoriteCount,commentCount,publishedAt,channelId,channelTitle,country,publishedAtYear,publishedAtMonth
mzcV8BHbE3Y,베트남 이발소 낱낱이 파헤쳐보다! 각종 이발소 서비스! 풀버젼!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '풀버젼', '이발소', '베트남 이발소', '베트남 서비스', '이발소 서비스', '파헤쳐보다', '베트남 여행', '베트남 관광', '황제 이발소', '호치민 이발소', '하노이 이발소', '호치민 여행', '호치민 관광', '호치민 맛집', '베트남 맛집', '코이티비', '베트남 부동산', '베트남 아파트', '베트남 미용실', '베트남 과일', '열대과일', '베트남 문화', '베트남 여자', '다낭 관광', '다낭 여행', '다낭 이발소', 'barbershop', 'barbershop services', 'beautiful girl', '베트남 하노이', '욜로헤어', '황제', 'yolo hair', '베트남 물가', '베트남 환율', '베트남 코이티비', 'koitv', '베트남 쌀국수', '베트남 마사지', '마사지', 'massage', 'vietnam massage', '동남아 마사지', '태국 마사지', 'foot massage', 'facial massage']",17349621,0,0,1589,2018-08-09 08:21:04+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,8
od_jct13cCo,두 미녀에게 받는 베트남 이발소 포핸드 서비스!,"*주소 8 Hậu Giang, Phường 4, Quận Tân Bình, TP HCM
*가격 140,000동(7,000원) + 팁 50,000~100,000동(2,500원~5,000원)
*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '베트남 이발소', '베트남 여행', '베트남 관광', '베트남 여자', '베트남 포핸드', '포핸드', '포핸즈', 'four hand', '호치민 여행', '호치민 관광', '호치민 이발소', '호치민 황제이발소', '황제이발소', '스윙이발소', '고향이발소', '호치민 맛집', '맛집', '베트남 맛집', '베트남 과일', '열대과일', '베트남 망고', '무이네', '푸꾸억', '하노이', '다낭', '베트남 아파트', '베트남 두리안', '베트남 택시', '코이티비', '만원챌린지', '베트남 환율', 'barbershop', 'vietnam barbershop', 'four hands', 'services', 'phu quoc', 'beautiful girl', 'hanoi', 'danang', 'muine', 'vietnamese girl', '베트남 쌀국수', '환율', '아찔한', '귀소지', '이발소', '이발소 귀소지']",11953006,50046,0,2094,2018-05-12 23:56:09+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,5
5e0SWLz-I8k,베트남에서만 받을 수 있는 이발소 서비스!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '미용실', '서비스', '베트남 미용실', '베트남 여행', '베트남 여자', '베트남 문화', '베트남 관광', '베트남 다낭', '다낭 여행', '다낭 관광', '다낭 맛집', '베트남 맛집', '베트남 음식', '베트남 코이티비', '코이티비', 'koitv', 'beautiful girl', '베트남 과일', '베트남 망고', '베트남 바나나', '베트남 두리안', '베트남 딸기', '베트남 길거리 음식', '베트남 환율', '베트남 물가', '베트남 부동산', '베트남 아파트', '베트남 하노이', '하노이 여행', '하노이 맛집', '베트남 쌀국수', '욜로헤어', '황제', 'yolo hair', '이발소', '호치민 이발소', '베트남 이발소', '황제이발소']",9690597,0,0,1393,2018-08-05 03:24:51+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,8
DYkqeziklE8,베트남 이발소 포핸드 서비스 풀버젼! ASMR!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '이발소', '베트남 이발소', '베트남 여행', '베트남 관광', '베트남 여자', '베트남 문화', '호치민 이발소', '베트남 맛집', '호치민 관광', '호치민 여행', '호치민 문화', '베트남 부동산', '베트남 열대과일', '베트남 마사지', '호치민 마사지', '베트남 발마사지', 'barbershop', 'full version', 'uncut', '코이티비', '만원챌린지', '동남아', 'barbershop service', 'asmr', '풀버젼', '베트남 미녀', '베트남 과일', '열대과일', '베트남 망고', '베트남 두리안']",7342050,33099,0,1547,2018-05-14 07:39:26+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,5
TJLdC2QxaRg,우리가 몰랐던 충격적인 딸기 먹는법!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '딸기', '충격적인', '베트남 여행', '베트남 관광', '달랏', '하노이', '무이네', '푸꾸억', '호치민 여행', '호치민 관광', '다낭', '다낭 여행', '다낭 관광', '다낭 맛집', '호치민 맛집', '베트남 맛집', '베트남 음식', '베트남 딸기', '베트남 과일', '베트남 열대과일', '베트남 망고', '베트남 두리안', '베트남 바나나', 'strawberry', 'shocking', 'vietnam strawberry', 'vietnam tour', 'hochiminh tour', 'danang', 'hanoi', 'dau lac', 'xoai lac', 'da lat', '베트남 아파트', '베트남 부동산', '베트남 쌀국수', '코이티비', 'koitv', '만원어치', '베트남 커피', '먹는법', '우리가 몰랐던', '문화충격', '과일', '열대과일', '동남아 과일', '달랏 딸기']",6034360,23067,0,2949,2018-07-22 01:47:41+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,7
7cSbPR52rjY,우리가 몰랐던 충격적인 망고 먹는법!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/koi.hong","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '베트남 망고', '베트남 여행', '베트남 관광', '호치민 여행', '호치민 관광', '호치민 길거리 음식', '베트남 길거리 음식', '베트남 과일', '열대과일', '베트남 쌀국수', '베트남 커피', '걸거리 음식', '길거리 과일', '코이티비', '만원챌린지', '베트남 스타벅스', '베트남 조개구이', '베트남 환율', '베트남 물가', '베트남 롯데마트', '달러환율', '환율', '베트남 서비스', '망고', '두리안', '파파야', '베트남 오징어', '베트남 피시방', '베트남 시장', '베트남 여자', '바나나', '하노이', '다낭', '딸기', '잭프루트', 'fruits', 'mango', 'pineapple', 'durian', 'papaya', 'orange', 'apple', '라임', '베트남 문화', '베트남 사람', '동남아', '동남아 과일', '베트남 롯데리아', '베트남 부동산', '베트남 아파트']",4719315,12895,0,1404,2018-02-06 02:57:29+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,2
cALJ-IcnXTY,외국인에게 사기치는 상인을 지나가던 베트남 아주머니가 참교육... 핵사이다!,"*영어자막제공 - ""유튜버 랭킹과 예상 수익이 한 곳에""  래더 - http://bitly.kr/ir1u

코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '음식', '사기', '베트남 사기', '베트남 택시사기', '택시사기', '베트남 상인', '베트남 아줌마', '베트남 여행', '하노이 여행', '하노이 관광', '하노이 사기', '호치민 사기', '호치민 여행', '호치민 관광', '베트남 과일', '베트남 열대과일', '베트남 문화', '베트남 축구', '베트남 박항서', '베트남 우승', '베트남 부동산', '베트남 환율', '베트남 망고', '베트남 두리안', '베트남 딸기', '베트남 미녀', '베트남 여자', '베트남 상인 사기', '코이티비', 'koitv', '베트남 다낭', '다낭 사기', '다낭 여행', '하노이 호텔', '베트남 호텔', '다낭 맛집', '베트남 맛집', '베트남 쌀국수', '베트남 커피', '사이다', '핵사이다', '참교육']",4206546,27192,0,3039,2018-12-21 07:21:32+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,12
TjCi3trslcg,황홀한 베트남 바디마사지 풀서비스!! 오감자극!! 아흐~흥... ASMR | Full Body Massage At Saigon In Vietnam!! Uncut!!,"*주소: 79 R4-16 Hung Gia4, PMH, Q.7
*Address: 79 R4-16 Hung Gia4, PMH, Q.7
*가격: 90분 250,000동(13,000원) + 팁은 대략50,000동~100,000동
*Price: 90 minutes 250,000vnd($12) + Tip 50,000vnd($3)~100,000vnd($5)
*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/koi.hong","['베트남', '호치민', '사이공', '베트남 여행', '베트남 관광', '베트남 하노이', '베트남 다낭', '다낭', '환율', '달러환율', '베트남 환율', '베트남 부동산', '베트남 문화', '베트남 여자', '한국 남자 인기', '한류', '베트남 피시방', '베트남 한류', '베트남 한치', '베트남 오징어', '베트남 과일', '열대과일', '오징어', '롯데리아', '베트남 롯데마트', 'service', 'beautiful girl', 'vietnam', 'saigon', 'hochiminh', '길거리 커피', '커피', '길거리 음식', '베트남 쌀국수', '코이티비', '광과장', 'bts', 'twice', '베트남 조개', '해산물', '쉼터', '만원챌린지', 'heaven', '천국', '파라다이스', 'paradise', 'asmr', '이발소', '베트남 이발소', '호치민 이발소', '마사지', '베트남 마사지', '바디 마사지', 'full version', 'uncut', '황홀한', 'body massage', 'full massage', 'vietnam massage', 'thai massage', 'barbershop']",3795443,0,0,643,2018-01-05 03:21:18+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,1
H1QdM3nS1Fg,베트남  전통 바디마사지 풀서비스!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '마사지', '이발소', '베트남 바디 마사지', '바디 마사지', 'body massage', 'full body massage', '베트남 마사지', '호치민 마사지', '베트남 이발소', '호치민 이발소', '베트남 발마사지', 'massage', 'foot massage', 'full massage', 'vietnam massage', 'thai massage', '태국 마사지', '동남아 마사지', '타이 마사지', 'massa', '베트남 여행', '베트남 관광', '호치민 여행', '호치민 관광', '하노이 여행', '하노이', '다낭', '다낭 마사지', '다낭 여행', '다낭 관광', '코이티비', 'koitv']",3750217,0,0,622,2018-07-21 11:27:10+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,7
YhxXkxpx4fQ,베트남에서만 받을 수 있는 이발소 서비스!,"*코이티비 채널은 베트남에 관한 이야기를 다루는 채널입니다.
*비판은 감사하게 받아들이겠습니다 하지만 이유없이 악플을 다는 분들은 차단하도록 하겠습니다.
*비지니스 문의는 redhatsg@gmail.com로 하시면 됩니다.

- FACEBOOK 페이스북 : https://www.facebook.com/sukho.hong.39
- INSTAGRAM 인스타그램 : https://www.instagram.com/redhatsg","['베트남', '호치민', '사이공', 'vietnam', 'hochiminh', 'saigon', '미용실', '베트남 여행', '베트남 관광', '베트남 미용실', 'barbershop', 'hair salon', '베트남 여자', '베트남 과일', '베트남 코이티비', '베트남 다낭', '다낭 여행', '베트남 문화', '베트남 바나나', '베트남 환율', '욜로헤어', '호치민 여행', '호치민 관광', '황제', '베트남 길거리 음식', '베트남 딸기', '베트남 물가', '서비스', '하노이', 'koitv', 'Dịch vụ cắt tóc', 'ベトナム', '理髪店', '天国', '이발소', '베트남 마사지', '베트남 이발소', '호치민 이발소', '다낭 이발소', '다낭 마사지', '호치민 마사지', '황제이발소', 'yolo hair', '스윙이발소', 'beautiful girl', 'services', '하노이 마사지', '하노이 이발소', '마사지']",3165234,0,0,983,2018-09-07 08:13:03+00:00,UCLvaHVogti2o0AkXoNZzeKA,코이티비 KOITV,베트남,2018,9
