Year,Month,Date,NumVisitors,annualGrowthRate
2015년,6월,2015-06-01,3.6696,0.0847177061779484
2015년,7월,2015-07-01,4.5349,0.2294366426286396
2015년,8월,2015-08-01,5.432,0.2383449219195257
2015년,9월,2015-09-01,4.677,0.2428252551020409
2015년,10월,2015-10-01,5.9864,0.2475825275091696
2015년,11월,2015-11-01,5.9168,0.2263306251036312
2015년,12월,2015-12-01,6.9555,0.3840413889165257
2016년,1월,2016-01-01,8.564,0.138814643422295
2016년,2월,2016-02-01,7.6407,0.3243950634403383
2016년,3월,2016-03-01,5.6442,0.1349003679649327
2016년,4월,2016-04-01,6.2668,0.2577369244972505
2016년,5월,2016-05-01,6.4106,0.174468241027426
2016년,6월,2016-06-01,6.1599,0.678629823413996
2016년,7월,2016-07-01,7.1641,0.5797702264658537
2016년,8월,2016-08-01,7.8023,0.4363586156111929
2016년,9월,2016-09-01,7.22,0.5437246097926021
2016년,10월,2016-10-01,7.3819,0.2331117198984365
2016년,11월,2016-11-01,8.2274,0.3905151433207139
2016년,12월,2016-12-01,9.9578,0.4316440227158364
2017년,1월,2017-01-01,11.2078,0.3087108827650631
2017년,2월,2017-02-01,9.4803,0.240763280851231
2017년,3월,2017-03-01,8.6945,0.5404308848020978
2017년,4월,2017-04-01,8.4249,0.344370332546116
2017년,5월,2017-05-01,7.9543,0.240804292889901
2017년,6월,2017-06-01,7.2031,0.1693533985941331
2017년,7월,2017-07-01,7.132,-0.0044806744741139
2017년,8월,2017-08-01,7.539,-0.033746459377363
2017년,9월,2017-09-01,7.2012,-0.0026038781163434
2017년,10월,2017-10-01,9.4207,0.2761890570178409
2017년,11월,2017-11-01,9.8161,0.1930986702968131
2017년,12월,2017-12-01,11.3641,0.1412259736086283
2018년,1월,2018-01-01,12.9355,0.1541515730116525
2018년,2월,2018-02-01,9.2515,-0.024134257354725
2018년,3월,2018-03-01,7.8392,-0.0983725343608028
2018년,4월,2018-04-01,6.6555,-0.2100202969768186
2018년,5월,2018-05-01,7.6389,-0.039651509246571
2018년,6월,2018-06-01,6.4436,-0.1054407130263358
2018년,7월,2018-07-01,6.2696,-0.1209197980931015
2018년,8월,2018-08-01,7.1653,-0.0495689083432816
2018년,9월,2018-09-01,7.7457,0.0756123979336778
2018년,10월,2018-10-01,9.0026,-0.0443809907968621
2018년,11월,2018-11-01,10.0382,0.0226260938661995
2018년,12월,2018-12-01,10.9266,-0.0384984292640859
2019년,1월,2019-01-01,11.6976,-0.0956978856634842
2019년,2월,2019-02-01,11.4425,0.2368264605739609
2019년,3월,2019-03-01,9.4907,0.2106720073476886
2019년,4월,2019-04-01,8.0214,0.2052287581699345
2019년,5월,2019-05-01,8.0273,0.0508450169527026
