Year,Month,NumVisitors,annualGrowthRate,Date
2017,6,56.8877,0.637692340909418,2017-06-01
2017,7,64.4026,0.4407482640131721,2017-07-01
2017,8,62.0904,0.3529472007530609,2017-08-01
2017,9,55.6885,0.293234776389063,2017-09-01
2017,10,62.0936,0.381223654502786,2017-10-01
2017,11,62.2604,0.4583690544788461,2017-11-01
2017,12,67.8905,0.3732563878505428,2017-12-01
2018,1,80.3816,0.2852521925441507,2018-01-01
2018,2,70.8318,0.1804945851624451,2018-02-01
2018,3,61.9196,0.2679374791388944,2018-03-01
2018,4,63.8523,0.1512656253662372,2018-04-01
2018,5,64.0355,0.1457580355417504,2018-05-01
2018,6,60.6162,0.065541408775535,2018-06-01
2018,7,60.7953,-0.0560117138127963,2018-07-01
2018,8,59.3941,-0.0434253926532925,2018-08-01
2018,9,47.9733,-0.1385420688292915,2018-09-01
2018,10,57.1176,-0.0801370833709109,2018-10-01
2018,11,58.8213,-0.055237357935381,2018-11-01
2018,12,68.1566,0.0039195469174626,2018-12-01
2019,1,77.9383,-0.0303962598405604,2019-01-01
2019,2,71.5804,0.0105686993694922,2019-02-01
2019,3,58.5586,-0.0542800664086977,2019-03-01
2019,4,56.6624,-0.1126020519229534,2019-04-01
2019,5,60.3394,-0.0577195461892231,2019-05-01
