,0
일본_명수,36087499
중국_명수,29750589
베트남_명수,16061089
미국_명수,15450042
태국_명수,11465554
필리핀_명수,11150761
홍콩_명수,8970767
대만_명수,5972198
마카오_명수,4721522
싱가폴_명수,4373176
말레이시아_명수,3569529
괌_명수,3290611
인도네시아_명수,2727022
캄보디아_명수,2639210
독일_명수,2379499
스페인_명수,2216398
영국_명수,2092292
호주_명수,2040100
오스트리아_명수,2024691
캐나다_명수,1823624
러시아_명수,1637989
북마리아나(사이판)_명수,1527404
튀르키예_명수,1404237
라오스_명수,1104849
인도_명수,921554
멕시코_명수,785666
슬로베니아_명수,740965
뉴질랜드_명수,601063
미얀마_명수,519290
몽골_명수,516592
브라질_명수,357050
몰디브_명수,282755
이스라엘_명수,277521
보스니아_명수,252381
핀란드_명수,179953
네팔_명수,176368
페루_명수,150480
남아프리카공화국_명수,136785
칠레_명수,130538
슬로바키아_명수,119320
팔라우_명수,117451
요르단_명수,112227
스리랑카_명수,103149
짐바브웨_명수,85847
피지_명수,53528
조지아_명수,46864
모리셔스_명수,38696
코스타리카_명수,36711
과테말라_명수,34429
파나마_명수,33731
스웨덴_명수,32558
에콰도르_명수,30784
도미니카공화국_명수,25845
북마케도니아_명수,22512
세르비아_명수,20180
스와질랜드_명수,15903
우간다_명수,11755
부탄_명수,11725
세이쉘_명수,9222
자메이카_명수,3134
리히텐슈타인_명수,978
시에라리온_명수,791
예멘_명수,356
사이프러스_명수,282
산마리노_명수,11
