Year,month,법무부_명수,법무부_전년대비,호주_명수,호주_전넌대비,북마리아나(사이판)_명수,북마리아나(사이판)_전넌대비,괌_명수,괌_전넌대비,뉴질랜드_명수,뉴질랜드_전넌대비,팔라우_명수,팔라우_전넌대비,피지_명수,피지_전넌대비
2004년,1월,793478,,25870,,7825,0.04091543561707578,,,18575,,76,,,
,2월,670447,,19350,,6434,-0.15179579850914837,,,10941,,68,,,
,3월,587629,,15190,,4228,-0.010424512669097052,,,8274,,56,,,
,4월,642413,,14130,,4827,-0.01903624613655519,,,7077,,71,,,
,5월,680185,,16130,,4294,-0.016860712764447006,,,6696,,966,,,
,6월,712260,,14180,,5967,-0.07168972030954845,,,6384,,1208,,,
,7월,897234,,20170,,7208,-0.02281736741892182,,,10220,,172,,,
,8월,930573,,15040,,8530,0.06179031696273074,,,7150,,38,,,
,9월,682244,,14190,,4508,0.011790694463620133,,,6860,,18,,,
,10월,757538,,18130,,3156,-0.20971804379766323,,,9156,,806,,,
,11월,745887,,21460,,4723,-0.2811124975372693,,,12075,,1163,,,
,12월,725697,,19740,,6492,-0.2930471850654123,,,10500,,1031,,,
2005년,1월,897406,0.1309777964858509,33740,0.30421337456513337,7554,-0.03463258785942492,,,16704,-0.10072678331090175,1292,16,,
,2월,745998,0.1126875055000619,21670,0.11989664082687339,7328,0.13894933167547405,,,11154,0.01946805593638607,471,5.926470588235294,,
,3월,707058,0.2032387782086997,20140,0.32587228439763,4641,0.09768211920529801,,,8700,0.05148658448150834,18,-0.6785714285714286,,
,4월,762096,0.18630226972368244,20060,0.4196744515215853,4657,-0.035218562253987985,,,7608,0.07503179313268334,25,-0.647887323943662,,
,5월,802497,0.17982166616435236,18310,0.1351518908865468,4337,0.010013972985561248,,,6935,0.03569295101553166,19,-0.9803312629399586,,
,6월,865693,0.2154171229607166,18280,0.28913963328631875,5015,-0.15954415954415954,,,6840,0.07142857142857142,31,-0.9743377483443708,,
,7월,1020757,0.13767088630167826,22840,0.13237481408031732,6661,-0.07588790233074362,,,9696,-0.0512720156555773,27,-0.8430232558139535,,
,8월,1070289,0.15013975260404075,18500,0.2300531914893617,7032,-0.17561547479484174,,,7875,0.10139860139860139,33,-0.13157894736842105,,
,9월,785549,0.1514194335164545,15310,0.07892882311486962,3453,-0.23402839396628217,,,6402,-0.06676384839650146,6,-0.6666666666666666,,
,10월,848088,0.11953195747276044,20640,0.13844456701599558,5369,0.7012040557667935,,,9039,-0.012778505897771953,29,-0.9640198511166254,,
,11월,784031,0.051139113565459644,22810,0.06290773532152842,6503,0.3768791022655092,,,10327,-0.14476190476190476,22,-0.9810834049871023,,
,12월,790681,0.0895470148009431,22330,0.13120567375886524,7402,0.14017252002464572,,,10725,0.02142857142857143,196,-0.8098933074684772,,
2006년,1월,985287,0.09792780525202639,28570,-0.15323058684054536,6902,-0.08631188774159386,,,13052,-0.21863026819923373,920,-0.28792569659442724,,
,2월,944596,0.2662178718977799,22330,0.030456852791878174,6778,-0.07505458515283843,,,9746,-0.126232741617357,1207,1.5626326963906583,,
,3월,823918,0.16527639882442458,19460,-0.033763654419066536,4745,0.022408963585434174,,,9177,0.05482758620689655,240,12.333333333333334,,
,4월,855083,0.12201481178224266,19340,-0.03589232303090728,5854,0.25703242430749407,,,8030,0.055467928496319666,729,28.16,,
,5월,906482,0.12957680838682262,17470,-0.045876570180229385,7165,0.6520636384597648,,,6307,-0.09055515501081471,1173,60.73684210526316,,
,6월,915942,0.05804482651471134,18240,-0.002188183807439825,7440,0.4835493519441675,,,7524,0.1,1334,42.03225806451613,,
,7월,1098740,0.07639722284539807,23790,0.04159369527145359,8146,0.22293949857378773,,,10008,0.03217821782178218,1336,48.48148148148148,,
,8월,1159874,0.0837016917860503,19500,0.05405405405405406,8053,0.145193401592719,,,7056,-0.104,1069,31.393939393939394,,
,9월,931946,0.1863626584719731,19500,0.2736773350751143,6407,0.8554879814653924,,,8253,0.2891283973758201,181,29.166666666666668,,
,10월,984649,0.16102220524285216,23880,0.1569767441860465,5818,0.08362823617060905,,,10186,0.126894567983184,1145,38.48275862068966,,
,11월,987488,0.25950121870181153,25080,0.09951775537045156,7481,0.1503921267107489,,,10582,0.024692553500532583,1064,47.36363636363637,,
,12월,1015874,0.28480891788218005,29330,0.31347962382445144,8102,0.09456903539583897,,,11440,0.06666666666666667,1358,5.928571428571429,,
2007년,1월,1281530,0.30066670929384026,34170,0.1960098004900245,9953,0.4420457838307737,,,14028,0.07477781182960466,1300,0.41304347826086957,,
,2월,982591,0.04022354530402415,20300,-0.09090909090909091,7721,0.13912658601357333,,,8510,-0.12682126000410424,1013,-0.16072908036454017,,
,3월,1046055,0.27,23040,0.18396711202466598,6271,0.32160168598524763,,,9752,0.06265664160401002,1070,3.4583333333333335,,
,4월,989018,0.157,21540,0.11375387797311272,6196,0.05842159207379569,,,8602,0.07123287671232877,1196,0.6406035665294925,,
,5월,1107498,0.222,18590,0.06410990269032628,7565,0.055826936496859735,,,6228,-0.012525765022990328,1194,0.017902813299232736,,
,6월,1064076,0.162,18910,0.03673245614035088,9139,0.22836021505376344,,,7334,-0.025252525252525252,1294,-0.029985007496251874,,
,7월,1297398,0.181,22960,-0.03488860865910046,10901,0.3382027989197152,,,8904,-0.11031175059952038,1367,0.023203592814371257,,
,8월,1308664,0.128,19190,-0.015897435897435898,10651,0.3226126909226375,,,5742,-0.18622448979591838,1358,0.27034611786716556,,
,9월,1015650,0.09,17520,-0.10153846153846154,8605,0.3430622756360231,,,6601,-0.2001696352841391,911,4.033149171270718,,
,10월,1078092,0.095,20210,-0.1536850921273032,8074,0.38776211756617396,,,7084,-0.3045356371490281,1085,-0.05240174672489083,,
,11월,1072557,0.086,21790,-0.13118022328548645,11626,0.5540703114556877,,,8784,-0.16991116991116992,1377,0.2941729323308271,,
,12월,1081848,0.065,21160,-0.2785543811796795,11617,0.43384349543322637,,,7884,-0.31083916083916086,1304,-0.039764359351988215,,
2008년,1월,1322909,0.032,28400,-0.16886157448053848,11227,0.1280016075555109,,,10846,-0.2268320501853436,1167,-0.10230769230769231,,
,2월,1132463,0.153,21180,0.04334975369458128,11116,0.4397098821396192,,,7084,-0.16756756756756758,1310,0.29318854886475815,,
,3월,983589,-0.0603,17600,-0.23,7169,0.14,,,6750,-0.3078342904019688,1046,-0.022429906542056073,,
,4월,1026750,0.038,17660,-0.17,8743,0.41,,,6984,-0.18809579167635435,1075,-0.10117056856187291,,
,5월,1099977,-0.007,17140,-0.07,9925,0.31,,,6200,-0.00449582530507386,1104,-0.07537688442211055,,
,6월,1004715,-0.056,16450,-0.13008989952406136,9616,0.05219389429915755,,,6042,-0.17616580310880825,1172,-0.09428129829984544,,
,7월,1135843,-0.125,23440,0.020905923344947785,10208,-0.06357214934409683,,,8184,-0.08086253369272234,1227,-0.10241404535479148,,
,8월,1163809,-0.111,19290,0.005211047420531578,10690,0.003661628016148777,,,6336,0.10344827586206895,1372,0.010309278350515427,,
,9월,818747,-0.194,13760,-0.21461187214611877,6697,-0.2217315514235909,,,4577,-0.3066202090592335,1295,0.42151481888035125,,
,10월,932716,-0.135,17010,-0.15833745670460164,8715,0.07939063661134504,,,5880,-0.1699604743083004,1215,0.1198156682027649,,
,11월,707012,-0.3408,14760,-0.3226250573657641,8912,-0.23344228453466365,,,4994,-0.4314663023679417,1214,-0.11837327523602037,,
,12월,667564,-0.3829,16130,-0.23771266540642721,8098,-0.30291813721270555,,,5184,-0.34246575342465757,1328,0.018404907975460016,,
2009년,1월,812901,-0.386,18500,-0.3485915492957746,8676,-0.22722009441524893,,,6300,-0.4191406970311635,1911,0.6375321336760926,,
