,Year,month,KTO_total,KTO_perc,USA_total,USA_perc,Canada_total,Canada_perc,Brazil_total,Brazil_perc,DominicanRepublic_total,DominicanRepublic_perc,Jamaica_total,Jamaica_perc,Guatemala_total,Guatemala_perc,Chile_total,Chile_perc,CostaRica_total,CostaRica_perc,Panama_total,Panama_perc,Peru_total,Peru_perc,Mexico_total,Mexico_perc,Ecuador_total,Ecuador_perc
2,2004년,1월,793478,,63341,,11243,,2335,,35,,32,,,,,,,,,,4641,,,,,
3,,2월,670447,,47191,,7927,,2515,,53,,23,,,,,,,,,,,,,,,
4,,3월,587629,,43664,,9243,,1804,,51,,14,,,,,,,,,,,,,,,
5,,4월,642413,,40831,,11723,,1379,,157,,10,,,,,,,,,,,,,,,
6,,5월,680185,,52600,,14088,,1668,,44,,30,,,,,,,,,,,,,,,
7,,6월,712260,,62410,,20079,,1754,,43,,7,,,,,,,,,,,,,,,
8,,7월,897234,,70805,,27171,,1553,,52,,20,,,,,,,,,,,,,,,
9,,8월,930573,,66825,,24351,,1806,,119,,20,,,,,,,,,,,,,,,
10,,9월,682244,,48594,,24295,,2053,,40,,8,,,,,,,,,,,,,,,
11,,10월,757538,,40976,,20684,,1820,,11,,16,,,,,,,,,,,,,,,
12,,11월,745887,,39303,,8084,,1438,,61,,17,,,,,,,,,,,,,,,
13,,12월,725697,,50055,,12094,,1228,,73,,16,,,,,,,,,,,,,,,
14,2005년,1월,897406,0.1309777964858509,68439,0.08048499392178841,12476,0.10966823801476475,2148,-0.08008565310492505,60,0.7142857142857142,16,-0.5,,,,,228,,,,5668,0.22128851540616257,,,,
15,,2월,745998,0.1126875055000619,47573,0.008094763832086627,9290,0.17194398889870063,2425,-0.03578528827037773,40,-0.24528301886792447,14,-0.391304347826087,,,,,175,,,,,,,,,
16,,3월,707058,0.2032387782086997,45616,0.04470502015390253,11085,0.19928594612138917,1805,0.0005543237250554324,97,0.9019607843137254,14,0,,,,,302,,,,,,,,,
17,,4월,762096,0.18630226972368244,48850,0.19639489603487545,13189,0.12505331399812336,1578,0.14430746918056564,60,-0.6178343949044586,10,0,,,,,167,,,,,,,,,
18,,5월,802497,0.17982166616435236,60066,0.14193916349809885,15066,0.06942078364565588,2067,0.2392086330935252,70,0.5909090909090908,26,-0.13333333333333333,,,,,254,,,,,,,,,
19,,6월,865693,0.2154171229607166,68844,0.10309245313251082,22328,0.11200757009811245,2190,0.24857468643101482,59,0.37209302325581395,22,2.142857142857143,,,,,256,,,,,,,,,
20,,7월,1020757,0.13767088630167826,80141,0.13185509497916814,30118,0.10846122704353907,2139,0.37733419188667094,130,1.5,16,-0.2,,,,,352,,,,,,,,,
21,,8월,1070289,0.15013975260404075,80891,0.2104900860456416,25081,0.029978234980082955,2421,0.34053156146179403,80,-0.32773109243697474,20,0,,,,,267,,,,,,,,,
22,,9월,785549,0.1514194335164545,53737,0.10583611145408899,17799,-0.2673801193661247,2422,0.1797369702873843,90,1.25,12,0.5,,,,,587,,,,,,,,,
23,,10월,848088,0.11953195747276044,50346,0.22867044123389302,13635,-0.34079481725004834,1910,0.04945054945054945,121,10,7,-0.5625,,,,,158,,,,,,,,,
24,,11월,784031,0.051139113565459644,43692,0.11167086481947942,8542,0.05665512122711529,1897,0.3191933240611961,90,0.47540983606557385,14,-0.17647058823529413,,,,,207,,,,,,,,,
25,,12월,790681,0.0895470148009431,56898,0.1367096194186395,12710,0.05093434761038532,1313,0.06921824104234528,71,-0.0273972602739726,11,-0.3125,,,,,285,,,,,,,,,
26,2006년,1월,985287,0.09792780525202639,75034,0.09636318473385058,12570,0.007534466175056108,3643,0.6959962756052142,120,1,35,1.1875,,,,,244,0.07017543859649122,,,6587,0.16213832039520115,,,,
27,,2월,944596,0.2662178718977799,48303,0.01534483845878965,10281,0.10667384284176534,2523,0.04041237113402062,101,1.525,32,1.2857142857142858,,,,,237,0.3542857142857143,,,,,,,,
28,,3월,823918,0.16527639882442458,50135,0.09906611715187653,11318,0.021019395579612087,2745,0.5207756232686981,101,0.04123711340206193,14,0,,,,,208,-0.3112582781456954,,,,,,,,
29,,4월,855083,0.12201481178224266,53992,0.10526100307062436,12012,-0.08924103419516263,3179,1.014575411913815,100,0.6666666666666667,16,0.6,,,,,256,0.532934131736527,,,,,,,,
30,,5월,906482,0.12957680838682262,61946,0.03129890453834116,16558,0.0990309305721492,2596,0.2559264634736333,80,0.1428571428571428,11,-0.5769230769230769,,,,,138,-0.45669291338582674,,,,,,,,
31,,6월,915942,0.05804482651471134,67493,-0.019624077624774854,22994,0.029828018631314943,2289,0.045205479452054796,200,2.389830508474576,14,-0.36363636363636365,,,,,205,-0.19921875,,,,,,,,
32,,7월,1098740,0.07639722284539807,82749,0.03254264359067144,31063,0.03137658543063949,3115,0.4562879850397382,211,0.6230769230769231,5,-0.6875,,,,,255,-0.27556818181818177,,,,,,,,
33,,8월,1159874,0.0837016917860503,84370,0.043008492910212505,24164,-0.03656154060842869,1816,-0.24989673688558448,70,-0.125,12,-0.4,,,,,249,-0.0674157303370787,,,,,,,,
34,,9월,931946,0.1863626584719731,66193,0.2317955970746413,20530,0.1534355862688915,2174,-0.10239471511147812,91,0.011111111111111072,4,-0.6666666666666666,,,,,232,-0.6047700170357752,,,,,,,,
35,,10월,984649,0.16102220524285216,54800,0.088,15045,0.1034103410341034,1444,0.088,80,-0.33884297520661155,11,0.088,,,,,184,0.16455696202531644,,,,,,,,
36,,11월,987488,0.25950121870181153,49891,0.142,10368,0.21376726761882464,2189,0.142,161,0.788888888888889,15,0.142,,,,,223,0.07729468599033806,,,,,,,,
37,,12월,1015874,0.28480891788218005,62815,0.104,14912,0.17324940991345397,2646,0.104,121,0.704225352112676,9,0.104,,,,,272,-0.04561403508771933,,,,,,,,
38,2007년,1월,1281530,0.30066670929384026,83332,0.11058986592744623,14509,0.15425616547334925,6072,0.6667581663464178,203,0.6916666666666667,3,-0.9142857142857143,,,,,275,0.12704918032786883,,,7351,0.11598603309549116,,,,
39,,2월,982591,0.04022354530402415,53505,0.10769517421278181,10795,0.04999513665985799,3195,0.26634958382877527,140,0.38613861386138604,9,-0.71875,,,,,236,-0.00421940928270037,,,,,,,,
40,,3월,1046055,0.27,53183,0.06079585120175526,12178,0.07598515638805442,3047,0.11001821493624772,150,0.48514851485148514,9,-0.35714285714285715,,,,,200,-0.038461538461538436,,,,,,,,
41,,4월,989018,0.157,54110,0.002185508964291006,12555,0.04520479520479521,3530,0.11041207927021075,130,0.30000000000000004,13,-0.1875,,,,,292,0.140625,,,,,,,,
42,,5월,1107498,0.222,67349,0.08722112807929487,17849,0.07796835366590169,3555,0.36941448382126346,220,1.75,33,2,,,,,254,0.8405797101449275,,,,,,,,
43,,6월,1064076,0.162,75208,0.11430815047486406,22394,-0.02609376359050187,2672,0.1673219746614242,170,-0.15000000000000002,22,0.5714285714285714,,,,,242,0.18048780487804872,,,,,,,,
44,,7월,1297398,0.181,87645,0.05916687814958489,32727,0.053568554228503366,4070,0.30658105939004815,380,0.8009478672985781,34,5.8,,,,,272,0.06666666666666665,,,,,,,,
45,,8월,1308664,0.128,93817,0.11197107976768994,27250,0.12771064393312365,2437,0.3419603524229075,141,1.0142857142857142,17,0.4166666666666667,,,,,217,-0.12851405622489964,,,,,,,,
46,,9월,1015650,0.09,67771,0.023839378786276493,21266,0.03584997564539698,3423,0.5745170193192273,131,0.43956043956043955,36,8,,,,,217,-0.06465517241379315,,,,,,,,
47,,10월,1078092,0.095,56223,0.025967153284671533,15547,0.03336656696576936,2340,0.6204986149584487,209,1.6124999999999998,21,0.9090909090909091,,,,,252,0.36956521739130443,,,,,,,,
48,,11월,1072557,0.086,50932,0.020865486761139283,10214,-0.014853395061728395,2416,0.10370031978072179,228,0.4161490683229814,28,0.8666666666666667,,,,,239,0.0717488789237668,,,,,,,,
49,,12월,1081848,0.065,63100,0.004537132850433814,15318,0.027226394849785406,2992,0.1307634164777022,216,0.7851239669421488,13,0.4444444444444444,,,,,270,-0.007352941176470562,,,,,,,,
50,2008년,1월,1322909,0.032,84958,0.02,13909,-0.041353642566682745,4899,0.02,156,-0.23152709359605916,15,0.02,,,1401,,273,-0.0072727272727273196,,,8207,0.11644674193987203,,,,
51,,2월,1132463,0.153,58515,0.094,11434,0.05919407132931913,3350,0.094,163,0.16428571428571437,33,0.094,,,876,,219,-0.07203389830508478,,,,,,,,
52,,3월,983589,-0.0603,56082,0.055,11574,-0.04959763507965183,3527,0.055,246,0.6399999999999999,39,0.055,,,888,,321,0.605,,,,,,,,
53,,4월,1026750,0.038,51959,-0.04,12590,0.00278773397052956,3439,-0.04,141,0.08461538461538454,13,-0.04,,,748,,227,-0.2226027397260274,,,,,,,,
54,,5월,1099977,-0.007,67847,0.007394319143565697,19076,0.06874334696621665,2762,-0.22306610407876226,216,-0.018181818181818188,26,-0.21212121212121215,,,516,,224,-0.11811023622047245,,,,,,,,
55,,6월,1004715,-0.056,72649,-0.03402563557068394,22282,-0.005001339644547631,3975,0.4876497005988023,248,0.45882352941176463,9,-0.5909090909090908,,,452,,204,-0.15702479338842978,,,,,,,,
56,,7월,1135843,-0.125,80830,-0.07775686006047122,30979,-0.05341155620741289,5171,0.27051597051597054,200,-0.4736842105263158,32,-0.05882352941176472,,,519,,245,-0.09926470588235292,,,,,,,,
57,,8월,1163809,-0.111,92204,-0.01719304603643268,25444,-0.06627522935779817,4011,0.6458760771440295,208,0.4751773049645389,13,-0.23529411764705888,,,539,,243,0.1198156682027649,,,,,,,,
58,,9월,818747,-0.194,55821,-0.17632910832066817,19202,-0.0970563340543591,2905,-0.15132924335378328,64,-0.5114503816793894,10,-0.7222222222222222,,,422,,154,-0.29032258064516125,,,,,,,,
59,,10월,932716,-0.135,47761,-0.1505077992992192,12228,-0.213481700649643,2909,0.2431623931623932,122,-0.416267942583732,4,-0.8095238095238095,,,552,,172,-0.31746031746031744,,,,,,,,
60,,11월,707012,-0.3408,39334,-0.2277153852195084,7452,-0.27041315841002544,3166,0.310430463576159,158,-0.3070175438596491,8,-0.7142857142857143,,,546,,155,-0.35146443514644354,,,,,,,,
61,,12월,667564,-0.3829,51434,-0.18488114104595876,10394,-0.32145188666927793,2251,-0.24766042780748665,127,-0.4120370370370371,9,-0.3076923076923077,,,397,,260,-0.03703703703703709,,,,,,,,
62,2009년,1월,812901,-0.386,70458,-0.1706725676216484,10962,-0.2118772018117765,1887,-0.6148193508879363,215,0.3782051282051282,44,1.9333333333333331,1032,,910,-0.3504639543183441,260,-0.04761904761904767,,,6158,-0.24966492019008169,,,,
63,,2월,753642,-0.335,43090,-0.26360762197727083,7785,-0.31913591044253975,1997,-0.4038805970149254,104,-0.3619631901840491,33,0,718,,670,-0.2351598173515982,189,-0.136986301369863,,,,,,,,
64,,3월,702043,-0.286,46689,-0.16748689419064944,9649,-0.16632106445481254,2193,-0.3782251204990077,175,-0.28861788617886175,23,-0.41025641025641024,801,,594,-0.33108108108108103,216,-0.3271028037383178,,,,,,,,
65,,4월,734681,-0.284,47658,-0.08277680478839089,9023,-0.283320095313741,1677,-0.512358243675487,176,0.24822695035460995,11,-0.15384615384615385,983,,508,-0.320855614973262,227,0,,,,,,,,
66,,5월,737396,-0.33,54656,-0.19442274529455983,11749,-0.38409519815474946,1572,-0.4308472121650978,164,-0.2407407407407407,31,0.1923076923076923,683,,436,-0.15503875968992253,200,-0.1071428571428571,,,,,,,,
67,,6월,731137,-0.272,63507,-0.12583793307547253,15442,-0.30697423929629297,1804,-0.5461635220125787,197,-0.20564516129032262,20,1.2222222222222223,699,,382,-0.15486725663716816,185,-0.09313725490196079,,,,,,,,
68,,7월,996695,-0.123,89451,0.10665594457503391,22944,-0.2593692501371897,2089,-0.5960162444401469,189,-0.05500000000000005,27,-0.15625,654,,438,-0.1560693641618497,271,0.10612244897959178,,,,,,,,
69,,8월,1041527,-0.105,88749,-0.037471259381371746,16546,-0.3497091652255935,2161,-0.4612316130640738,208,0,18,0.3846153846153846,957,,426,-0.20964749536178107,268,0.10288065843621408,,,,,,,,
70,,9월,658487,-0.196,56147,0.005840096021210606,13465,-0.2987709613581918,2105,-0.2753872633390706,134,1.09375,31,2.1,737,,431,0.021327014218009532,174,0.1298701298701299,,,,,,,,
