Year,month,법무부_명수,법무부_전년대비,스페인_명수,스페인_전년대비,독일_명수,독일_전년대비,오스트리아_명수,오스트리아_전년대비,영국_명수,영국_전년대비,슬로베니아_명수,슬로베니아_전년대비,러시아_명수,러시아_전년대비,보스니아_명수,보스니아_전년대비,핀란드_명수,핀란드_전년대비,슬로바키아_명수,슬로바키아_전년대비,북마케도니아_명수,북마케도니아_전년대비,세르비아_명수,세르비아_전년대비,스웨덴_명수,스웨덴_전년대비,리히텐슈타인_명수,리히텐슈타인_전년대비,조지아_명수,조지아,산마리노_명수,산마리노_전년대비
2004년,1월,793478,,,,7414,,1518,,,,,,,,,,397,,,,,,,,579,,5,,,,,
,2월,670447,,,,7506,,1511,,,,,,,,,,448,,,,,,,,1438,,8,,,,,
,3월,587629,,,,8974,,1783,,,,,,,,,,613,,,,,,,,885,,21,,,,,
,4월,642413,,,,8172,,3006,,,,,,,,,,484,,,,,,,,818,,4,,,,,
,5월,680185,,,,11376,,4875,,,,,,,,,,2061,,,,,,,,1849,,17,,,,,
,6월,712260,,,,11753,,5243,,,,,,,,,,3230,,,,,,,,2348,,12,,,,,
,7월,897234,,,,20420,,10920,,,,,,,,,,2782,,,,,,,,1567,,18,,,,,
,8월,930573,,,,15216,,6574,,,,,,,,,,2826,,,,,,,,2147,,2,,,,,
,9월,682244,,,,11655,,4172,,,,,,,,,,1113,,,,,,,,1605,,4,,,,,
,10월,757538,,,,10783,,3188,,,,,,,,,,717,,,,,,,,825,,2,,,,,
,11월,745887,,,,7734,,1865,,,,,,,,,,417,,,,,,,,796,,4,,,,,
,12월,725697,,,,5555,,1526,,,,,,,,,,330,,,,,,,,519,,0,,,,,
2005년,1월,897406,0.1309777964858509,,,9807,0.32276773671432424,2632,0.7338603425559947,,,,,111221,,,,374,-0.05793450881612091,,,,,,,892,0.540587219343696,0,-1,13,,,
,2월,745998,0.1126875055000619,,,7259,-0.03290700772715161,1745,0.15486432825943083,,,,,,,,,455,0.015625,,,,,,,851,-0.4082058414464534,5,-0.375,18,,,
,3월,707058,0.2032387782086997,,,8513,-0.05137062625362157,2131,0.195176668536175,,,,,,,,,610,-0.004893964110929853,,,,,,,677,-0.23502824858757063,15,-0.2857142857142857,24,,,
,4월,762096,0.18630226972368244,,,10027,0.22699461576113558,3567,0.18662674650698602,,,,,,,,,604,0.24793388429752067,,,,,,,854,0.044009779951100246,14,2.5,12,,,
,5월,802497,0.17982166616435236,,,11347,-0.0025492264416315047,7202,0.47733333333333333,,,,,,,,,1706,-0.1722464822901504,,,,,,,1916,0.03623580313683072,10,-0.4117647058823529,9,,,
,6월,865693,0.2154171229607166,,,12023,0.022972857993703737,6426,0.22563417890520696,,,,,,,,,2776,-0.14055727554179567,,,,,,,2562,0.09114139693356048,9,-0.25,20,,,
,7월,1020757,0.13767088630167826,,,21678,0.061606268364348675,10713,-0.018956043956043955,,,,,,,,,1889,-0.3209920920201294,,,,,,,2157,0.3765156349712827,15,-0.16666666666666666,29,,,
,8월,1070289,0.15013975260404075,,,17507,0.1505651945320715,7771,0.18208092485549132,,,,,,,,,2389,-0.15463552724699223,,,,,,,2422,0.12808570097810898,20,9,18,,,
